Proton,Neutron,Mass,Nucleus,Name,Spin,Abundance (%),Gamma (MHz/T),Q (fm^2),$\gamma_h/\gamma_n$,Refsample,SampleCondition,Lifetime(y),Gamma
62,87,149,Sm,Samarium,3.5,13.82,-1.462952237,7.5,3.44,-,-,1e16 y,-0.9192
63,88,151,Eu,Europium,2.5,47.81,10.58539527,90.3,24.86,-,-,5e18 y,6.651
63,90,153,Eu,Europium,2.5,52.19,4.674221524,241.2,10.98,-,-,5.5e17 y,2.9369
64,91,155,Gd,Gadolinium,1.5,14.8,-1.307171379,127,3.07,-,-,-,-0.82132
64,93,157,Gd,Gadolinium,1.5,15.65,-1.713939582,135,4.03,-,-,-,-1.0769
65,94,159,Tb,Terbium,1.5,100,10.23525439,143.2,24.04,-,-,-,6.431
66,95,161,Dy,Dysprosium,2.5,18.91,-1.464384631,250.7,3.44,-,-,-,-0.9201
66,97,163,Dy,Dysprosium,2.5,24.9,2.051507216,264.8,4.82,-,-,-,1.289
67,98,165,Ho,Holmium,3.5,100,9.087747251,358,21.34,-,-,-,5.71
68,99,167,Er,Erbium,3.5,22.93,-1.227991794,356.5,2.88,-,-,-,-0.77157
69,100,169,Tm,Thullum,0.5,100,-3.530056638,0,8.29,-,-,-,-2.218
70,101,171,Yb,Ytterbium,0.5,14.28,7.526118949,0,17.499306,Yb(η-C<sub>5</sub>Me<sub>5</sub>)<sub>2</sub>(THF)<sub>2</sub>,0.171 M in THF,-,4.7288
70,103,173,Yb,Ytterbium,2.5,16.13,-2.072993134,280,4.821,-,-,-,-1.3025
71,104,175,Lu,Lutetium,3.5,97.41,4.862501821,349,11.404,-,-,-,3.0552
71,105,176,Lu,Lutetium,7.0,2.59,3.451115786,497,8.131,-,-,3.73e10 y,2.1684
72,105,177,Hf,Hafniun,3.5,18.6,1.728422682,336.5,4.007,-,-,-,1.086
72,107,179,Hf,Hafniun,4.5,13.62,-1.085595867,379.3,2.517,-,-,-,-0.6821
73,108,181,Ta,Tantalum,3.5,99.988,5.162668044,317,11.9896,BKTaCl<sub>6</sub>,"CH<sub>3</sub>CN, sat.",-,3.2438
74,109,183,W,Tungsten,0.5,14.31,1.795650207,0,4.166387,Na<sub>2</sub>WO<sub>4</sub>,"D<sub>2</sub>O, 1 M",>4.1e21 y,1.1282403
75,110,185,Re,Rhenium,2.5,37.4,9.71752336,218,22.5246,KReO<sub>4</sub>,"D<sub>2</sub>O, 0.1 M",-,6.1057
75,112,187,Re,Rhenium,2.5,62.6,9.8169952,207,22.7516,BKReO<sub>4</sub>,"D<sub>2</sub>O, 0.1 M",4.16e10 y,6.1682
76,111,187,Os,Osmium,0.5,1.96,0.985629851,0,2.282331,OsO<sub>4</sub>,"CCl<sub>4</sub>, 0.98 M",-,0.6192895
76,113,189,Os,Osmium,1.5,16.15,3.353601552,85.6,7.7654,OsO<sub>4</sub>,"CCl<sub>4</sub>, 0.98 M",-,2.10713
77,114,191,Ir,Iridium,1.5,37.3,0.765853586,81.6,1.718,-,-,-,0.4812
77,116,193,Ir,Iridium,1.5,62.7,0.831902888,75.1,1.871,-,-,-,0.5227
78,117,195,Pt,Platinum,0.5,33.832,9.292261352,0,21.496784,Na<sub>2</sub>PtCl<sub>6</sub>,"D<sub>2</sub>O, 1.2 M",7.3e18 y,5.8385
